uuid;sender;receiver;amount;invoiceid;timestamp
5267debe-af38-11ec-b909-0242ac120002;223e4567-e89b-12d3-a456-000000000000;223e4567-e89b-12d3-a456-222222222222;0.1;;1648118619
5267e1c0-af38-11ec-b909-0242ac120002;223e4567-e89b-12d3-a456-222222222222;07a3d2d5-95c3-4ef9-8c5d-03f32e3488f6;1.2;0;1648305732
5267e328-af38-11ec-b909-0242ac120002;07a3d2d5-95c3-4ef9-8c5d-03f32e3488f6;223e4567-e89b-12d3-a456-222222222222;100.0;71483cf4-ab1a-45c2-8706-32c7dff1094d;1648532623
46996bf8-4066-46f6-af68-ca87636df58f;123e4567-e89b-12d3-a456-000000000000;123e4567-e89b-12d3-a456-111111111111;20.0;;1648733968
67c82595-e949-434a-8645-a92d74ab0943;123e4567-e89b-12d3-a456-000000000000;123e4567-e89b-12d3-a456-111111111111;20.0;;1648734261
05e4984f-60cb-4755-96f1-d28a8f697ee1;123e4567-e89b-12d3-a456-111111111111;123e4567-e89b-12d3-a456-000000000000;1.0;;1648734311
2b956c47-c9b5-4f59-9dd4-326a456d13df;123e4567-e89b-12d3-a456-000000000000;123e4567-e89b-12d3-a456-111111111111;20.0;;1648734395
2640bc8b-fa92-49d4-b923-db51dbac9d31;123e4567-e89b-12d3-a456-111111111111;123e4567-e89b-12d3-a456-000000000000;20.0;;1648734454
94434231-538b-470c-a09c-81880b5137bf;123e4567-e89b-12d3-a456-000000000000;123e4567-e89b-12d3-a456-111111111111;20.0;;1648734646
66212de8-2e4c-410b-b270-a6026fa08aa8;223e4567-e89b-12d3-a456-444444444444;223e4567-e89b-12d3-a456-333333333333;20.0;;1648735442
b1253e7a-5016-4ed2-8f39-ae15b929791d;07a3d2d5-95c3-4ef9-8c5d-03f32e3488f6;223e4567-e89b-12d3-a456-222222222222;200.0;73483cf4-ab1a-45c2-8706-32c7dff1094d;1652687906
246bac1b-5696-4746-9977-d0d3166d5d18;123e4567-e89b-12d3-a456-222222222222;123e4567-e89b-12d3-a456-333333333333;50.0;;1652778937
4b895b12-3884-4b27-a569-6f496e3b42a8;123e4567-e89b-12d3-a456-000000000000;07a3d2d5-95c3-4ef9-8c5d-03f32e3488f6;20.0;594e7af3-f16d-40e4-b9a1-2db0c4f2eb06;1652779162
749c5498-6779-42e8-aadc-35d66113eda3;123e4567-e89b-12d3-a456-000000000000;07a3d2d5-95c3-4ef9-8c5d-03f32e3488f6;20.0;594e7af3-f16d-40e4-b9a1-2db0c4f2eb06;1652779199
e7ae7e11-5486-49be-8c4f-b7257b28091b;07a3d2d5-95c3-4ef9-8c5d-03f32e3488f6;223e4567-e89b-12d3-a456-222222222222;200.0;73483cf4-ab1a-45c2-8706-32c7dff1094d;1652882356
